"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"979",803,136,1,0,1,2,2,2,2,0,2,3,1,4,3,5,3,3,0,1,22,2,0,200000,1,88,999,1,4,1,200000,36,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"982",901,49,1,0,1,2,2,2,2,120,2,1,1,4,3,5,3,3,0,1,22,2,0,105000,2,50,935,1,1,1,105120,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"983",403,63,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,75000,2,51,50,1,1,1,75000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"984",612,130,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,1,0,4800,1,22,999,1,1,1,4800,9,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"985",201,65,1,0,2,2,2,1,2,0,1,3,1,4,2,1,2,1,30000,1,21,2,0,0,2,51,129,3,4,1,30000,9,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"986",611,73,5,2,2,1,2,2,2,0,1,5,2,4,3,5,3,3,0,3,21,1,0,18000,1,51,999,1,6,2,18000,120,1,2,3,1,1000,1,0,0,1,0,1,5,"0"
"987",801,49,5,1,2,1,2,2,2,0,1,5,1,4,2,5,2,2,0,3,19,1,0,0,1,706,999,6,6,2,0,207,1,2,3,6,4000,5,1,0,1,0,0,4,"0"
"989",502,126,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,100000,1,939,999,1,1,1,100000,50,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"990",1003,90,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,3,19,2,0,20000,4,999,999,1,6,1,20000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"991",613,72,4,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,1,0,150000,1,195,999,1,1,2,150000,163,1,2,1,1,1000,1,0,0,1,0,1,5,"0"
"992",601,33,1,2,2,1,1,2,2,0,2,3,1,4,2,5,2,2,60000,1,22,2,0,0,2,22,50,6,4,1,60000,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"993",505,128,1,0,1,2,2,2,2,0,2,5,3,4,2,5,2,2,0,3,19,1,0,0,1,22,999,6,6,1,0,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"994",504,26,1,2,2,1,2,2,2,0,2,5,1,4,2,5,2,2,0,3,19,1,0,10000,2,32,50,6,6,1,10000,9,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"995",706,60,1,0,2,2,1,2,2,0,2,2,1,4,3,5,3,3,1400,1,21,2,18000,0,4,999,999,6,3,1,19400,25,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"996",611,69,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,24,1,0,50000,2,50,237,1,6,1,53500,6,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"997",504,71,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,19,2,0,48000,2,26,51,1,1,1,48000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
